model,cond,pid,eos,n_new,coverage,n_stmts,tok_cross,ast4,ast8,ast16,kind,p_stmt,cycles,unit,d_stmt,L,D,tail_tokmin,line_p,line_L,line_D,literal,L_eff,D_eff,anyaxis,degen
qwen,greedy,parse_csv,True,117,1.0,16,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,word_freq,True,50,1.0,9,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,flatten,True,36,1.0,8,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,stack_class,True,554,1.0,40,,552,,,,,,,,,,,,,,,,,False,False
qwen,greedy,lru_cache,False,600,0.987,76,,,113,138,strict,3,20.7,block,2,25,12,0.375,3,25,12,Y,25,12,True,True
qwen,greedy,prime_sieve,False,600,1.0,78,,,130,162,strict,3,23.0,function,3,23,19,0.594,3,23,19,Y,23,19,True,True
qwen,greedy,roman,True,349,1.0,25,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,balanced,True,45,1.0,11,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,transpose,True,26,1.0,3,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,rle,False,600,0.978,84,,,,,,,,,,,,,32,205,61,Y,205,61,True,True
qwen,greedy,dedup,True,36,1.0,9,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,gcd,True,113,1.0,14,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,quicksort,False,600,0.975,39,578,,248,313,strict,3,8.0,function,3,57,35,0.281,,,,N,57,35,True,True
qwen,greedy,tree_walk,False,600,0.99,95,,,,94,strict,12,6.0,function,10,77,42,0.469,,,,N,77,42,True,True
qwen,greedy,json_walk,True,54,1.0,10,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,email,True,27,1.0,7,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,temp,True,149,1.0,16,,,,,strict,3,2.0,block,3,42,31,0.688,,,,N,42,31,True,False
qwen,greedy,reverse_words,True,30,1.0,6,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,anagram,True,88,1.0,9,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,pascal,True,135,1.0,18,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,chunk,True,22,1.0,4,,,,,,,,,,,,,,,,,,,False,False
