model,cond,pid,eos,coverage,n_stmts,kind,p_stmt,cycles,unit,literal,d_stmt,L_tok,D_tok,pred_floor,tail_tokmin,tok_min,line_p,line_L,L_eff,anyaxis,degen
gpt2,p95,gcd,False,0.659,56.0,strict,4.0,11.0,block,Y,2.0,42.0,22.0,,0.438,0.438,6.0,42.0,42.0,True,True
gpt2,p95,quicksort,False,0.125,6.0,,,,,,,,,,,0.562,,,,False,False
gpt2,p95,tree_walk,False,0.35,8.0,,,,,,,,,,,0.5,,,,False,False
gpt2,p95,json_walk,False,0.362,9.0,,,,,,,,,,,0.469,,,,False,False
gpt2,p95,email,False,0.377,13.0,,,,,,,,,,,0.281,,,,False,False
gpt2,p95,temp,False,0.661,16.0,strict,1.0,6.0,statement,N,1.0,31.0,18.0,0.562,0.406,0.406,,,31.0,True,True
gpt2,p95,reverse_words,False,0.302,8.0,strict,1.0,6.0,statement,N,1.0,21.0,13.0,0.406,0.406,0.375,,,21.0,True,True
gpt2,p95,anagram,False,0.961,25.0,quasi,2.0,8.0,block,N,2.0,25.0,13.0,0.406,0.312,0.312,,,25.0,True,True
gpt2,p95,pascal,False,0.2,1.0,,,,,,,,,,,0.062,,,,False,False
gpt2,p95,chunk,False,1.0,2.0,,,,,,,,,,,0.375,,,,False,False
